release_date,movie,production_budget,domestic_gross,worldwide_gross
2013-05-15,Star Trek Into Darkness,190,228.778661,467.381584
2013-06-21,World War Z,190,202.359711,531.51465
2013-05-10,The Great Gatsby,190,144.840419,351.040419
2009-11-06,Disney's A Christmas Carol,190,137.855863,315.709697
2013-07-12,Pacific Rim,190,101.802906,411.002906
2015-11-25,The Good Dinosaur,187.5,123.08712,334.342692
2008-05-02,Iron Man,186,318.604126,584.604126
2008-07-18,The Dark Knight,185,533.345358,1002.891358
2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185,317.023851,786.558145
2012-06-22,Brave,185,237.282182,554.606532
2017-03-10,Kong: Skull Island,185,167.112109,560.197024
2016-07-22,Star Trek Beyond,185,158.84834,336.398312
2005-12-09,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,180,291.710957,720.539572
2014-05-30,Maleficent,180,241.407328,758.536735
2016-11-18,Fantastic Beasts and Where to Find Them,180,234.037575,803.798342
2008-06-27,WALL-E,180,223.808164,532.590994
2007-08-10,Rush Hour 3,180,140.125968,256.585882
2016-07-01,The Legend of Tarzan,180,126.643061,349.143061
2011-11-23,Hugo,180,73.864507,180.047784
2017-07-21,Valerian and the City of a Thousand Planets,180,0,0
2015-02-06,Jupiter Ascending,179,47.482519,181.982519
2016-05-27,X-Men: Apocalypse,178,155.442489,542.742489
2014-06-06,Edge of Tomorrow,178,100.206256,370.541256
2016-04-15,The Jungle Book,175,364.001123,963.901123
2015-06-19,Inside Out,175,356.461711,853.707581
2016-08-05,Suicide Squad,175,325.100054,746.100054
2009-05-29,Up,175,293.004164,731.542621
2009-03-27,Monsters vs. Aliens,175,198.351526,381.68738
2009-08-07,G.I. Joe: The Rise of Cobra,175,150.201498,302.469017
1999-06-30,Wild Wild West,175,113.805681,221.229335
2008-08-01,The Mummy: Tomb of the Dragon Emperor,175,102.491776,405.760225
2007-06-22,Evan Almighty,175,100.28969,174.131329
1995-07-28,Waterworld,175,88.24622,264.24622
2013-12-25,47 Ronin,175,38.362475,151.716815
2017-05-12,King Arthur: Legend of the Sword,175,31.525202,97.725202
2020-12-31,Singularity,175,0,0
2014-08-01,Guardians of the Galaxy,170,333.172112,771.123402
2010-05-07,Iron Man 2,170,312.433331,623.561331
2014-04-04,Captain America: The Winter Soldier,170,259.746958,714.401889
2014-07-11,Dawn of the Planet of the Apes,170,208.545589,710.644566
2004-11-10,The Polar Express,170,194.949659,319.090241
2012-06-01,Snow White and the Huntsman,170,155.136755,401.021746
2003-07-01,Terminator 3: Rise of the Machines,170,150.358296,433.058296
2004-05-07,Van Helsing,170,120.150546,300.150546
2015-05-22,Tomorrowland,170,93.436322,207.283457
2016-05-27,Alice Through the Looking Glass,170,77.042381,277.442381
2010-05-21,Shrek Forever After,165,238.736787,756.244673
2016-11-04,Doctor Strange,165,232.64192,677.54192
2014-11-07,Big Hero 6,165,222.527828,652.127828
2010-03-26,How to Train Your Dragon,165,217.581231,494.870991
2012-11-02,Wreck-It Ralph,165,189.412677,496.511521
2014-11-05,Interstellar,165,188.017894,668.913307
2016-06-24,Independence Day: Resurgence,165,103.144286,387.644286
2011-07-29,Cowboys and Aliens,163,100.240551,175.910315
2017-03-17,Beauty and the Beast,160,499.350435,1223.183573
2007-05-17,Shrek the Third,160,322.719944,807.330936
2010-07-16,Inception,160,292.576195,832.584416
2015-11-20,The Hunger Games: Mockingjay - Part 2,160,281.723902,650.523427
2013-05-24,Fast and Furious 6,160,238.67985,789.300444
2014-05-16,Godzilla,160,200.676069,529.076069
2011-06-03,X-Men: First Class,160,146.408305,355.408305
2008-12-25,The Curious Case of Benjamin Button,160,127.509326,329.809326
2010-07-14,The Sorcerer's Apprentice,160,63.150991,217.98632
2006-05-12,Poseidon,160,60.674817,181.674817
2016-06-10,Warcraft,160,47.225655,433.125655
2018-12-18,Aquaman,160,0,0
2016-09-30,Deepwater Horizon,156,61.433527,113.611666
2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155,104.38695,418.18695
2015-07-01,Terminator: Genisys,155,89.760956,440.160956
2004-11-24,Alexander,155,34.297191,167.297191
2001-05-25,Pearl Harbor,151.5,198.539855,449.239855
2007-07-02,Transformers,151,319.246193,708.272592
2013-11-22,Frozen,150,400.738009,1274.23498
2016-03-04,Zootopia,150,341.268248,1019.922983
2007-07-11,Harry Potter and the Order of the Phoenix,150,292.004738,942.943935
2005-11-18,Harry Potter and the Goblet of Fire,150,290.013036,896.911078
2003-05-15,The Matrix Reloaded,150,281.553689,738.576929
2007-12-14,I am Legend,150,256.39301,585.532684
2016-11-23,Moana,150,248.757044,639.557044
2008-07-01,Hancock,150,227.946274,624.234272
2005-07-15,Charlie and the Chocolate Factory,150,206.459076,475.825484
2007-06-29,Ratatouille,150,206.445654,626.549695
2013-11-08,Thor: The Dark World,150,206.36214,644.602516
2005-06-15,Batman Begins,150,205.343774,359.142722
2015-07-31,Mission: Impossible—Rogue Nation,150,195.042377,700.868363
2011-05-06,Thor,150,181.030624,449.326618
2008-11-07,Madagascar: Escape 2 Africa,150,180.01095,599.516844
2009-05-01,X-Men Origins: Wolverine,150,179.883157,374.82576
2009-05-22,Night at the Museum: Battle of the Smithsonian,150,177.243721,402.231063
2011-05-26,Kung Fu Panda 2,150,165.249063,664.837547
2015-05-15,Mad Max: Fury Road,150,153.636354,370.742166
2003-11-05,The Matrix Revolutions,150,139.27091,427.30026
2006-05-05,Mission: Impossible III,150,133.501348,397.501348
2009-05-15,Angels & Demons,150,133.375846,490.875846
2004-05-14,Troy,150,133.298577,484.161265
2010-07-01,The Last Airbender,150,131.772187,319.713881
2007-11-02,Bee Movie,150,126.631277,287.594577
2009-07-24,G-Force,150,119.43677,292.817841
2008-11-21,Bolt,150,114.053759,328.015209
2012-03-30,Wrath of the Titans,150,83.670083,305.270083
2007-11-16,Beowulf,150,82.195215,194.995215
2012-05-11,Dark Shadows,150,79.727149,238.202668
2013-06-28,White House Down,150,73.103784,205.440387
2010-02-12,The Wolfman,150,62.189884,142.634358
2017-02-17,The Great Wall,150,45.157105,331.775766
2015-10-09,Pan,150,35.08832,123.88832
2011-03-11,Mars Needs Moms,150,21.392758,39.549758
2006-11-03,Flushed Away,149,64.665672,179.357126
2012-06-08,Madagascar 3: Europe's Most Wanted,145,216.391482,746.921271
2011-12-16,Mission: Impossible—Ghost Protocol,145,209.397903,694.71323
2014-06-13,How to Train Your Dragon 2,145,177.002924,616.102924
1999-06-16,Tarzan,145,171.091819,448.191819
2014-03-07,Mr. Peabody & Sherman,145,111.50643,269.80643
2012-11-21,Rise of the Guardians,145,103.412758,306.900902
2005-04-08,Sahara,145,68.671925,121.671925
2016-07-15,Ghostbusters,144,128.350574,229.03405
2002-11-22,Die Another Day,142,160.942139,431.942139
2009-05-08,Star Trek,140,257.730019,385.680446
1998-07-01,Armageddon,140,201.578182,554.6
2002-07-03,Men in Black 2,140,190.418803,441.767803
2011-07-22,Captain America: The First Avenger,140,176.654505,370.569776
2016-01-29,Kung Fu Panda 3,140,143.528619,518.614384
1998-07-10,Lethal Weapon 4,140,130.444603,285.4
2013-03-27,G.I. Joe: Retaliation,140,122.52306,375.740705
2003-12-05,The Last Samurai,140,111.110575,456.810575
2005-12-21,Fun With Dick And Jane,140,110.55,203.018919
2014-12-12,Exodus: Gods and Kings,140,65.014513,268.314513
2016-07-01,The BFG,140,55.48377,154.105658
2016-02-26,Gods of Egypt,140,31.153464,133.553464
2002-05-03,Spider-Man,139,403.706375,821.706375
2009-03-06,Watchmen,138,107.509799,184.068357
2005-07-29,Stealth,138,32.116746,76.416746
2008-06-13,The Incredible Hulk,137.5,134.806913,263.417913
2003-06-20,Hulk,137,132.177234,245.229234
2001-07-11,Final Fantasy: The Spirits Within,137,32.13183,85.13183
2012-11-16,The Twilight Saga: Breaking Dawn Part 2,136.2,292.324737,829.724737
2012-10-01,The Croods,135,187.168425,573.068425
2015-12-25,The Revenant,135,183.637894,532.950503
1999-11-19,The World is Not Enough,135,126.93066,361.73066
2011-03-04,Rango,135,123.257581,245.504574
2003-11-14,Master and Commander: The Far Side of the World,135,93.926386,212.912137
2013-07-17,Turbo,135,83.02813,286.896578
2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135,82.051601,244.451601
2011-11-18,Happy Feet Two,135,64.006466,157.956466
2006-07-28,Miami Vice,135,63.478838,163.818556
2005-06-29,War of the Worlds,132,234.280354,606.836535
2014-11-26,Penguins of Madagascar,132,83.350911,367.650911
2013-11-22,The Hunger Games: Catching Fire,130,424.668047,864.868047
2004-06-04,Harry Potter and the Prisoner of Azkaban,130,249.538952,796.688549
2007-08-03,The Bourne Ultimatum,130,227.47107,442.161562
2008-06-06,Kung Fu Panda,130,215.434591,631.910531
2015-07-17,Ant-Man,130,180.202163,518.602163
2015-03-27,Home,130,177.39751,386.06939
2011-10-28,Puss in Boots,130,149.260504,554.987477
2010-11-05,Megamind,130,148.415853,321.887208
2003-07-18,Bad Boys II,130,138.54087,273.271982
2014-04-11,Rio 2,130,131.538435,493.738435
2010-07-23,Salt,130,118.311368,290.650494
2014-03-28,Noah,130,101.200044,352.831065
2011-12-21,The Adventures of Tintin,130,77.591831,373.993951
2013-05-31,After Earth,130,60.522097,251.499665
2008-11-26,Australia,130,49.554002,215.08081
2013-07-19,R.I.P.D.,130,33.618855,79.076678
2011-11-18,The Twilight Saga: Breaking Dawn Part 1,127.5,281.287133,689.420051
2000-05-19,Dinosaur,127.5,137.748063,356.148063
2017-03-03,Logan,127,225.965272,608.6741
2014-12-19,Night at the Museum: Secret of the Tomb,127,113.746621,356.546621
2011-07-15,Harry Potter and the Deathly Hallows: Part II,125,381.011219,1341.511219
2014-11-21,The Hunger Games: Mockingjay - Part 1,125,337.135885,766.652288
2001-11-16,Harry Potter and the Sorcerer’s Stone,125,317.57555,974.755371
2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,125,305.411224,634.954103
2010-11-19,Harry Potter and the Deathly Hallows: Part I,125,295.983305,960.283305
2006-05-19,The Da Vinci Code,125,217.536138,767.820459
2003-05-02,X2,125,214.949694,407.711549
2011-04-29,Fast Five,125,209.837675,629.969804
2014-08-08,Teenage Mutant Ninja Turtles,125,191.204754,485.004754
2011-12-16,Sherlock Holmes: A Game of Shadows,125,186.848418,535.663443
2004-05-28,The Day After Tomorrow,125,186.740799,556.31945
2017-03-31,The Boss Baby,125,167.68219,470.086617
2010-04-01,Clash of the Titans,125,163.214888,493.214888
2016-11-04,Trolls,125,153.707064,344.780046
1998-05-19,Godzilla,125,136.314294,376
2012-06-08,Prometheus,125,126.477084,402.448265
2012-08-10,The Bourne Legacy,125,113.20387,280.35592
1997-06-20,Batman & Robin,125,107.325195,238.317814
2012-08-03,Total Recall,125,58.877969,211.856088
2016-12-21,Assassin’s Creed,125,54.647948,240.497948
2017-01-13,Monster Trucks,125,33.370166,61.681268
1999-08-27,The 13th Warrior,125,32.698899,61.698899
2000-11-17,How the Grinch Stole Christmas,123,260.044825,345.141403
2000-05-24,Mission: Impossible 2,120,215.409889,549.588516
2000-06-30,The Perfect Storm,120,182.618434,328.711434
2016-07-29,Jason Bourne,120,162.19292,416.197059
2007-06-15,Fantastic Four: Rise of the Silver Surfer,120,131.921738,288.215319
2012-11-21,Life of Pi,120,124.987022,607.987022
2007-02-16,Ghost Rider,120,115.802596,229.545589
2003-06-27,Charlie's Angels: Full Throttle,120,100.814328,227.2
2013-08-09,Elysium,120,93.050117,286.192091
2013-04-19,Oblivion,120,89.107235,287.916633
2017-03-24,Power Rangers,120,85.130488,139.250487
2002-07-19,Stuart Little 2,120,64.956806,166
2014-02-12,RoboCop,120,58.607007,242.981799
2004-06-11,The Chronicles of Riddick,120,57.712751,107.212751
2015-08-07,Fantastic Four,120,56.117548,167.117548
2008-05-09,Speed Racer,120,43.945766,93.394462
2005-07-22,The Island,120,35.818913,163.018913
2010-12-17,How Do You Know?,120,30.21262,49.628177
2017-06-02,Wonder Woman,120,0,0
2010-06-23,Knight and Day,117,76.423035,258.75137
1999-05-19,Star Wars Ep. I: The Phantom Menace,115,474.544677,1027.044677
2005-05-19,Star Wars Ep. III: Revenge of the Sith,115,380.270577,848.998877
2002-05-16,Star Wars Ep. II: Attack of the Clones,115,310.67674,656.695615
2001-11-02,Monsters Inc.,115,289.423425,559.757719
2013-07-26,The Wolverine,115,132.556852,416.456852
1997-02-07,Dante's Peak,115,67.163857,178.2
2016-04-22,The Huntsman: Winter’s War,115,48.003015,165.149302
2002-06-14,Windtalkers,115,40.914068,77.628265
2008-07-04,Astérix aux Jeux Olympiques,113.5,0.999811,132.999811
2010-12-25,Gulliver's Travels,112,42.779261,232.017848
2013-10-04,Gravity,110,274.092705,695.941797
2006-12-22,Night at the Museum,110,250.863268,579.446407
2005-06-10,Mr. and Mrs. Smith,110,186.336279,486.12409
2015-05-29,San Andreas,110,155.190832,469.590832
2011-07-29,The Smurfs,110,142.614158,563.749323
2007-06-27,Live Free or Die Hard,110,134.529403,382.288147
2015-03-20,The Divergent Series: Insurgent,110,130.179072,295.279072
2004-12-10,Ocean's Twelve,110,125.531634,362.989076
1997-12-19,Tomorrow Never Dies,110,125.304276,339.504276
2000-06-28,The Patriot,110,113.330342,215.3
2014-03-07,300: Rise of an Empire,110,106.580051,330.780051
2004-12-17,The Aviator,110,102.608827,208.370892
2016-12-21,Passengers,110,100.014092,302.211243
2011-01-14,The Green Hornet,110,98.780042,229.155503
2016-09-30,Miss Peregrine’s Home for Peculiar Children,110,87.242834,296.642834
2011-10-07,Real Steel,110,85.463309,263.880341
2010-06-11,The A-Team,110,77.222099,177.241171
2013-07-31,The Smurfs 2,110,71.017784,348.547523
2016-03-18,The Divergent Series: Allegiant,110,66.184051,171.484051
2009-06-12,The Taking of Pelham 123,110,65.452312,152.36437
2013-11-01,Ender's Game,110,61.737191,127.983283
2004-04-02,Home on the Range,110,50.026353,76.482461
1997-06-13,Speed 2: Cruise Control,110,48.097081,150.468
2005-05-06,Kingdom of Heaven,110,47.398413,218.853353
2017-03-31,Ghost in the Shell,110,40.563557,167.738546
2004-06-16,Around the World in 80 Days,110,24.004159,72.004159
2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109,315.54475,887.210985
2003-11-21,The Cat in the Hat,109,101.018283,133.818283
2001-12-25,Ali,109,58.183966,87.683966
2015-10-02,The Martian,108,228.433663,663.851905
2004-07-16,I Robot,105,144.801023,348.629585
1999-12-17,Stuart Little,105,140.015224,298.815224
2009-11-25,The Princess and the Frog,105,104.400899,270.997378
2008-03-07,10000 B.C.,105,94.784201,269.065678
2016-07-22,Ice Age: Collision Course,105,64.063008,403.841637
2001-04-27,Town & Country,105,6.712451,10.364769
2000-06-09,Gone in 60 Seconds,103.3,101.643008,232.643008
2000-05-05,Gladiator,103,187.683805,457.683805
2013-05-23,The Hangover 3,103,112.200072,362.000072
2018-03-09,A Wrinkle in Time,103,0,0
2009-07-01,Public Enemies,102.5,97.10462,212.282709
2006-11-17,Casino Royale,102,167.365,594.420283
2002-06-21,Minority Report,102,132.024714,358.824714
2012-10-26,Cloud Atlas,102,27.108272,130.673154
2002-11-15,Harry Potter and the Chamber of Secrets,100,261.98788,878.979634
1991-07-02,Terminator 2: Judgment Day,100,201.858746,513.815401
1995-06-16,Batman Forever,100,184.031112,336.529144
2001-07-27,Planet of the Apes,100,180.01174,362.21174
2004-11-19,National Treasure,100,173.005002,331.32341
2012-12-25,Django Unchained,100,162.805434,449.948323
2010-12-22,Little Fockers,100,148.4386,310.650574
1994-07-15,True Lies,100,146.282411,365.3
2007-11-02,American Gangster,100,130.164645,267.985456
2009-09-18,Cloudy with a Chance of Meatballs,100,124.870275,236.827677
2010-08-06,The Other Guys,100,119.219978,170.93647
2004-12-17,Lemony Snicket's A Series of Unfortunate Events,100,118.627117,212.956024
2013-12-25,The Wolf of Wall Street,100,116.900694,391.976723
2013-05-24,Epic,100,107.518682,262.794441
1996-06-21,Eraser,100,101.295562,234.4
1996-06-21,The Hunchback of Notre Dame,100,100.138851,325.5
2000-12-15,The Emperor's New Groove,100,89.296573,169.296573
2012-08-17,The Expendables 2,100,85.028192,311.979256
2009-10-16,Where the Wild Things Are,100,77.233467,99.123656
2006-12-15,Eragon,100,75.030163,249.488115
2014-07-25,Hercules,100,72.688614,243.388614
2010-12-10,The Tourist,100,67.631157,278.731369
1999-11-24,End of Days,100,66.889043,212.026975
2004-06-11,The Stepford Wives,100,59.475623,96.221971
2007-06-08,Surf's Up,100,58.867694,145.395745
2006-12-08,Blood Diamond,100,57.377916,171.377916
2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,100,55.675313,139.716717
1997-11-07,Starship Troopers,100,54.768952,121.1
2009-06-05,Land of the Lost,100,49.43837,69.548641
2003-12-25,Peter Pan,100,48.41785,95.255485
2004-07-23,Catwoman,100,40.202379,82.145379
2014-08-15,The Expendables 3,100,39.322544,209.461378
2002-11-27,Treasure Planet,100,38.120554,91.8
2010-03-12,Green Zone,100,35.497337,97.52302
2015-12-25,Point Break,100,28.782481,128.131571
2015-12-11,In the Heart of the Sea,100,25.020758,90.420758
2014-04-18,Transcendence,100,23.022309,103.039258
2005-02-18,Son of the Mask,100,17.018422,59.918422
2002-08-16,The Adventures of Pluto Nash,100,4.411102,7.094995
2011-12-21,Jin líng shí san chai,100,0.311434,98.227017
2018-08-10,Amusement Park,100,0,0
2015-11-06,The Peanuts Movie,99,130.178411,244.778411
2001-05-04,The Mummy Returns,98,202.00764,435.040395
2002-12-20,Gangs of New York,97,77.7305,183.124621
2015-03-13,Cinderella,95,201.151353,534.551353
2012-07-13,Ice Age: Continental Drift,95,161.321843,879.765137
2001-12-28,Black Hawk Down,95,108.638745,159.691085
2010-05-27,Sex and the City 2,95,95.347692,294.680778
2010-02-12,Percy Jackson & the Olympians: The Lightning Thief,95,88.768303,223.050874
2012-08-10,The Campaign,95,86.907746,104.907746
2010-11-12,Unstoppable,95,81.562942,169.511609
1997-05-09,The Fifth Element,95,63.570862,263.9
2000-03-31,The Road to El Dorado,95,50.802661,65.7
2009-12-11,The Lovely Bones,95,44.114232,94.894448
2016-08-19,Ben-Hur,95,26.410477,88.7251
2015-02-06,Seventh Son,95,17.223265,110.623265
2003-05-30,Finding Nemo,94,380.52937,936.42937
2003-12-17,The Lord of the Rings: The Return of the King,94,377.845905,1141.403341
2002-12-18,The Lord of the Rings: The Two Towers,94,342.548984,934.699645
2001-06-15,Lara Croft: Tomb Raider,94,131.144183,273.330185
2015-02-13,Kingsman: The Secret Service,94,128.261724,404.561724
2001-07-18,Jurassic Park III,93,181.166115,365.9
2011-08-05,Rise of the Planet of the Apes,93,176.760185,482.860185
2008-02-14,The Spiderwick Chronicles,92.5,71.195053,162.839667
2004-11-05,The Incredibles,92,261.441092,614.726752
2013-02-14,A Good Day to Die Hard,92,67.349198,304.249198
2004-04-09,The Alamo,92,22.406362,23.911362
1995-12-22,Cutthroat Island,92,10.017322,18.517322
2013-12-25,The Secret Life of Walter Mitty,91,58.236838,188.536838
1997-07-01,Men in Black,90,250.690539,587.790539
1999-11-19,Toy Story 2,90,245.852179,511.358276
2001-08-03,Rush Hour 2,90,226.164286,347.425832
2009-12-25,Sherlock Holmes,90,209.028679,498.438212
2009-07-01,Ice Age: Dawn of the Dinosaurs,90,196.573705,859.701857
2000-07-21,What Lies Beneath,90,155.464351,288.693989
2011-04-15,Rio,90,143.619809,487.519809
2006-10-06,The Departed,90,132.384315,289.660619
2000-11-03,Charlie's Angels,90,125.305545,259.73609
1998-06-19,Mulan,90,120.620254,303.5
2008-08-13,Tropic Thunder,90,110.461307,191.09125
2011-12-20,The Girl with the Dragon Tattoo,90,102.515793,239.37397
1997-07-11,Contact,90,100.920329,165.9
2008-06-06,You Don't Mess With the Zohan,90,100.018837,202.910991
1995-05-19,Die Hard: With a Vengeance,90,100.012499,366.101666
2016-09-23,The Magnificent Seven,90,93.427848,159.762983
2015-12-18,Alvin and the Chipmunks: The Road Chip,90,85.886987,235.29608
2001-06-08,Atlantis: The Lost Empire,90,84.052762,186.04902
2008-12-25,Valkyrie,90,83.077762,203.902107
2015-07-24,Pixels,90,78.747585,244.1263
2001-06-29,Artificial Intelligence: AI,90,78.616689,235.9
2003-11-26,The Haunted Mansion,90,75.817994,155.750628
2000-08-04,Hollow Man,90,73.20934,191.2
2005-04-22,The Interpreter,90,72.708161,162.753837
2013-08-07,Percy Jackson: Sea of Monsters,90,68.559554,200.859554
2003-07-25,Lara Croft: Tomb Raider: The Cradle of Life,90,65.653758,157.092943
2016-06-10,Now You See Me 2,90,65.07554,328.67554
2001-11-21,Spy Game,90,62.36256,143.04956
1997-04-04,The Saint,90,61.363304,169.4
2000-03-10,Mission to Mars,90,60.874615,106
1999-12-17,Bicentennial Man,90,58.220776,87.420776
2004-07-07,King Arthur,90,51.877963,203.877963
1997-04-25,Volcano,90,47.546796,120.1
1997-03-26,The Devil's Own,90,42.885593,140.9
2002-07-19,K-19: The Widowmaker,90,35.168966,65.716126
2011-08-19,Conan the Barbarian,90,21.295021,63.356133
2011-10-21,The Three Musketeers,90,20.377913,139.877913
2017-04-21,The Promise,90,8.224288,8.972861
2010-11-24,The Nutcracker in 3D,90,0.195459,20.466016
1996-05-10,Twister,88,241.688385,495.7
2005-06-03,Cinderella Man,88,61.649911,105.021488
2005-07-08,Fantastic Four,87.5,154.69608,330.71708
2001-02-09,Hannibal,87,165.092266,350.10028
2003-07-25,Seabiscuit,86,120.277854,148.715342
2000-12-22,Cast Away,85,233.632142,427.230516
2006-11-17,Happy Feet,85,198.000317,385.000317
2001-12-07,Ocean's Eleven,85,183.41715,450.728529
2004-07-23,The Bourne Supremacy,85,176.08745,288.58745
1997-07-25,Air Force One,85,172.956409,315.268353
2009-04-03,Fast & Furious,85,155.064265,363.064265
2008-03-14,Horton Hears a Who,85,154.529439,299.477886
2014-03-21,Divergent,85,150.947895,276.014965
2012-09-28,Hotel Transylvania,85,148.313048,378.505812
2007-11-21,Enchanted,85,127.706877,340.384141
2012-02-10,Safe House,85,126.18163,208.542162
2007-07-20,I Now Pronounce You Chuck and Larry,85,119.72528,185.708462
2007-06-08,Ocean's Thirteen,85,117.144465,311.744465
2009-12-25,It’s Complicated,85,112.735375,224.614744
1998-11-20,Enemy of the State,85,111.549836,250.649836
2006-09-29,Open Season,85,85.105259,191.932158
2011-11-04,Tower Heist,85,78.04657,153.487972
2000-11-22,102 Dalmatians,85,66.941559,66.941559
2012-03-30,Mirror Mirror,85,64.935167,173.613482
2006-12-08,The Holiday,85,63.28,205.190324
2006-06-16,The Fast and the Furious: Tokyo Drift,85,62.61551,157.794205
2005-12-09,Memoirs of a Geisha,85,57.010853,161.510853
2001-03-16,Enemy at the Gates,85,51.396781,96.971293
1993-06-18,Last Action Hero,85,50.016394,137.298489
2003-09-26,The Rundown,85,47.641743,80.831893
2011-11-23,Arthur Christmas,85,46.462469,149.717124
2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85,45.539292,114.979922
2017-01-20,xXx: Return of Xander Cage,85,44.898413,345.114933
1998-11-13,Meet Joe Black,85,44.650003,44.650003
2002-02-08,Collateral Damage,85,40.048332,78.353508
2002-03-15,Showtime,85,37.948765,78.948765
1995-06-30,Judge Dredd,85,34.687912,113.487912
2007-03-02,Zodiac,85,33.080084,83.080084
2010-08-13,Scott Pilgrim vs. The World,85,31.611316,48.056764
2003-03-28,The Core,85,31.11126,74.132631
1997-05-09,Father's Day,85,28.68108,35.68108
2002-06-14,Scooby-Doo,84,153.294164,276.294164
2000-07-28,Nutty Professor II: The Klumps,84,123.307945,166.307945
2013-07-19,RED 2,84,53.26256,137.16256
2006-06-23,Click,82.5,137.355633,237.685089
2006-12-15,Charlotte's Web,82.5,82.985708,143.985708
2008-02-14,Jumper,82.5,81.168265,223.636949
2008-07-11,Hellboy II: The Golden Army,82.5,75.986503,160.388063
2005-05-27,The Longest Yard,82,158.11946,190.320568
2010-08-13,The Expendables,82,103.068524,268.268174
2000-11-17,The 6th Day,82,34.543701,96.024898
2003-05-23,Bruce Almighty,81,242.704995,484.468608
2012-03-23,The Hunger Games,80,408.010692,677.923379
2011-05-26,The Hangover Part II,80,254.464305,586.464305
1996-05-21,Mission: Impossible,80,180.981886,457.697994
